customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,No,Yes,44,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),65.56,2945.11,1
CUST-00001,Female,1,No,No,34,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),77.25,2678.74,0
CUST-00002,Male,0,No,No,26,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,102.64,2770.12,1
CUST-00003,Male,0,Yes,No,17,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),18.82,322.28,0
CUST-00004,Male,0,Yes,No,35,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),62.73,2168.19,0
CUST-00005,Female,1,Yes,No,16,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,66.18,1063.05,1
CUST-00006,Male,0,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.33,473.78,0
CUST-00007,Male,0,Yes,No,28,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),79.68,2140.01,0
CUST-00008,Male,0,Yes,No,9,No,No phone service,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,68.54,643.91,1
CUST-00009,Female,0,Yes,Yes,13,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,37.07,465.14,0
CUST-00010,Male,0,Yes,Yes,1,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,47.62,47.96,0
CUST-00011,Male,0,Yes,No,61,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,82.84,4875.47,0
CUST-00012,Male,0,No,No,45,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),42.8,1896.76,0
CUST-00013,Male,0,No,No,6,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),75.64,461.53,1
CUST-00014,Female,0,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.08,273.85,0
CUST-00015,Male,0,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.38,325.04,0
CUST-00016,Female,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,69.09,881.74,0
CUST-00017,Female,0,No,No,51,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),50.43,2694.32,0
CUST-00018,Female,1,Yes,No,41,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),90.61,3742.95,1
CUST-00019,Male,0,No,No,46,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),55.61,2598.1,0
CUST-00020,Female,1,Yes,No,72,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),78.86,5617.36,0
CUST-00021,Male,0,Yes,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.85,668.84,0
CUST-00022,Female,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.66,541.73,0
CUST-00023,Female,1,Yes,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,63.81,2517.3,0
CUST-00024,Female,0,No,No,36,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),82.4,2993.63,0
CUST-00025,Female,0,No,No,65,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,62.54,3875.14,1
CUST-00026,Female,0,No,No,47,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),95.65,4357.43,0
CUST-00027,Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,63.13,259.25,0
CUST-00028,Female,0,No,No,72,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,96.48,7039.73,0
CUST-00029,Female,0,No,No,36,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,52.4,1880.68,0
CUST-00030,Male,0,Yes,Yes,4,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),60.45,237.52,1
CUST-00031,Male,0,Yes,No,47,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,51.78,2367.35,0
CUST-00032,Female,0,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,261.96,0
CUST-00033,Female,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Mailed check,84.84,4201.76,0
CUST-00034,Female,0,Yes,Yes,72,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),77.22,5393.45,0
CUST-00035,Male,0,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),55.88,488.65,0
CUST-00036,Female,1,Yes,No,62,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,57.31,3481.07,0
CUST-00037,Male,0,No,No,47,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,50.92,2438.89,0
CUST-00038,Male,1,Yes,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.94,766.57,0
CUST-00039,Male,0,Yes,No,15,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,59.71,908.88,1
CUST-00040,Male,0,No,Yes,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),21.16,66.14,0
CUST-00041,Male,0,Yes,Yes,21,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.83,444.84,0
CUST-00042,Female,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.49,252.9,1
CUST-00043,Female,0,Yes,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.31,510.39,0
CUST-00044,Female,0,Yes,No,54,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,77.79,4284.03,0
CUST-00045,Female,0,No,No,72,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,62.86,4547.6,0
CUST-00046,Female,1,No,No,7,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,97.95,679.27,1
CUST-00047,Male,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.0,129.45,0
CUST-00048,Female,0,No,No,53,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),62.77,3217.03,0
CUST-00049,Female,0,No,No,20,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,77.72,1541.77,1
CUST-00050,Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,1319.73,0
CUST-00051,Female,0,Yes,Yes,46,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),62.17,2949.13,0
CUST-00052,Male,0,Yes,Yes,42,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,63.97,2761.77,1
CUST-00053,Female,1,No,No,3,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),96.23,295.34,1
CUST-00054,Male,0,No,No,1,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,100.78,101.35,0
CUST-00055,Female,0,No,No,12,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Mailed check,27.67,330.14,0
CUST-00056,Female,0,Yes,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.73,143.79,0
CUST-00057,Male,0,Yes,No,39,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,76.45,2985.18,0
CUST-00058,Male,0,No,No,19,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,89.35,1760.25,1
CUST-00059,Male,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.01,447.24,0
CUST-00060,Male,0,Yes,Yes,53,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,91.48,4745.32,0
CUST-00061,Male,0,Yes,No,20,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),92.95,1878.01,0
CUST-00062,Male,0,No,No,25,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),105.44,2672.31,0
CUST-00063,Male,0,Yes,No,59,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,82.96,4879.55,1
CUST-00064,Male,0,No,No,18,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),57.26,1046.17,0
CUST-00065,Female,0,No,No,2,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,61.97,117.83,1
CUST-00066,Female,0,No,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.96,538.11,0
CUST-00067,Male,1,Yes,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),65.73,1783.89,1
CUST-00068,Female,1,Yes,No,22,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),52.97,1174.72,0
CUST-00069,Female,0,No,No,9,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Mailed check,66.68,585.95,0
CUST-00070,Female,0,No,Yes,8,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,98.62,827.79,1
CUST-00071,Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,241.1,1
CUST-00072,Male,0,No,No,5,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,83.69,417.88,0
CUST-00073,Female,1,No,No,35,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),67.74,2349.43,0
CUST-00074,Male,0,No,No,30,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),101.49,3105.93,1
CUST-00075,Female,1,Yes,Yes,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),22.73,712.7,0
CUST-00076,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),105.03,823.35,0
CUST-00077,Female,0,No,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.38,177.87,1
CUST-00078,Male,0,Yes,No,49,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),62.65,3053.76,1
CUST-00079,Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,67.13,2563.51,0
CUST-00080,Male,1,Yes,No,66,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,87.39,5873.37,0
CUST-00081,Female,0,No,Yes,16,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,83.26,1328.83,0
CUST-00082,Male,1,Yes,Yes,25,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.51,1475.62,1
CUST-00083,Female,0,Yes,Yes,42,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,62.51,2728.08,0
CUST-00084,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.69,1861.74,0
CUST-00085,Male,1,Yes,No,72,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,79.39,5891.72,1
CUST-00086,Female,0,Yes,No,72,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,39.62,2736.38,1
CUST-00087,Male,0,Yes,No,70,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.8,5089.8,0
CUST-00088,Female,0,No,No,32,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,95.36,3174.3,1
CUST-00089,Female,0,No,No,1,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),54.09,53.67,0
CUST-00090,Female,0,No,Yes,38,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,53.89,2141.07,1
CUST-00091,Female,0,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),50.37,388.99,1
CUST-00092,Female,1,No,No,1,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,73.39,71.68,0
CUST-00093,Female,1,Yes,No,38,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),71.86,2794.87,0
CUST-00094,Female,0,No,No,45,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,No,Mailed check,43.11,2016.34,0
CUST-00095,Female,0,No,No,34,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,59.43,1961.8,1
CUST-00096,Female,0,No,No,14,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),72.65,1062.14,1
CUST-00097,Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),44.21,995.15,1
CUST-00098,Female,1,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.86,1567.1,0
CUST-00099,Male,0,No,No,41,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),56.37,2283.77,0
CUST-00100,Male,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.94,451.93,0
CUST-00101,Female,0,No,No,28,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),64.68,1805.69,0
CUST-00102,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),57.33,4311.13,0
CUST-00103,Female,0,Yes,No,16,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Mailed check,70.18,1083.99,0
CUST-00104,Female,0,Yes,Yes,3,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.82,297.29,1
CUST-00105,Female,0,Yes,No,12,No,No phone service,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,56.48,671.61,0
CUST-00106,Female,0,Yes,No,17,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,67.25,1196.42,0
CUST-00107,Female,0,No,No,10,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,31.89,303.9,0
CUST-00108,Female,0,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.19,450.7,0
CUST-00109,Male,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.5,262.07,0
CUST-00110,Female,0,No,No,3,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Mailed check,40.77,127.22,0
CUST-00111,Male,0,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,78.03,450.64,0
